"Group","Intention","Freq","N","SurveyName","Country","StartYear"
"Not Married, Not Sexually Active","Use Later",0.785577882287998,3049,"BUIR61FL.DTA","Burundi",2010
"Not Married, Not Sexually Active","Missing",0.00385921646228692,3049,"BUIR61FL.DTA","Burundi",2010
"Not Married, Sexually Active","Does Not Intend",0.190527862008155,205,"BUIR61FL.DTA","Burundi",2010
"Not Married, Sexually Active","Unsure About Use",0.0471969435388552,205,"BUIR61FL.DTA","Burundi",2010
"Not Married, Sexually Active","Use Later",0.76227519445299,205,"BUIR61FL.DTA","Burundi",2010
"Not Married, Sexually Active","Missing",0,205,"BUIR61FL.DTA","Burundi",2010
"All Never Users","Does Not Intend",0.408214477968545,11434,"BUIR70FL.DTA","Burundi",2016
"All Never Users","Unsure About Use",0.022571917072986,11434,"BUIR70FL.DTA","Burundi",2016
"All Never Users","Use Later",0.569213604958469,11434,"BUIR70FL.DTA","Burundi",2016
"Infecund, Menopausal","Does Not Intend",0.70580076087539,1499,"BUIR70FL.DTA","Burundi",2016
"Infecund, Menopausal","Unsure About Use",0.0144694498803189,1499,"BUIR70FL.DTA","Burundi",2016
"Infecund, Menopausal","Use Later",0.279729789244291,1499,"BUIR70FL.DTA","Burundi",2016
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.45639208976206,3125,"BUIR70FL.DTA","Burundi",2016
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.0181496143924207,3125,"BUIR70FL.DTA","Burundi",2016
"Married, Does Not Want Child within 2 Years","Use Later",0.52545829584552,3125,"BUIR70FL.DTA","Burundi",2016
"Married, Wants Child within 2 Years","Does Not Intend",0.505218229963262,505,"BUIR70FL.DTA","Burundi",2016
"Married, Wants Child within 2 Years","Unsure About Use",0.0135978948781709,505,"BUIR70FL.DTA","Burundi",2016
"Married, Wants Child within 2 Years","Use Later",0.481183875158567,505,"BUIR70FL.DTA","Burundi",2016
"Not Married, Not Sexually Active","Does Not Intend",0.300785531263979,5984,"BUIR70FL.DTA","Burundi",2016
"Not Married, Not Sexually Active","Unsure About Use",0.0282797159955777,5984,"BUIR70FL.DTA","Burundi",2016
"Not Married, Not Sexually Active","Use Later",0.670934752740443,5984,"BUIR70FL.DTA","Burundi",2016
"Not Married, Sexually Active","Does Not Intend",0.31823580641851,321,"BUIR70FL.DTA","Burundi",2016
"Not Married, Sexually Active","Unsure About Use",0.0158500207855986,321,"BUIR70FL.DTA","Burundi",2016
"Not Married, Sexually Active","Use Later",0.665914172795891,321,"BUIR70FL.DTA","Burundi",2016
"All Never Users","Does Not Intend",0.29991802716957,8519,"KHIR73FL.DTA","Cambodia",2014
"All Never Users","Unsure About Use",0.124113984927479,8519,"KHIR73FL.DTA","Cambodia",2014
"All Never Users","Use Later",0.575967987902951,8519,"KHIR73FL.DTA","Cambodia",2014
"Infecund, Menopausal","Does Not Intend",0.824875329160956,1761,"KHIR73FL.DTA","Cambodia",2014
